"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"PUPOF";"Public Power Corp SA";"Utilities";"Utilities - Independent Power Producers";11,45;"Greece";100;0,15;"0.25";"1.21";"-4.44";"-8.08";NA;NA;"7.00";"5.00";"6.00";"6.00";"8.00";8;NA;1,6;1,61;NA;1,45;1,06;1,37;NA
"PVG";"Pretium Resources Inc";"Basic Materials";"Metals & Mining";10,06;"Canada";1205881;-0,11;"-0.35";"-0.09";"0.20";"0.22";"-0.21";NA;"1.00";"6.00";"7.00";"6.00";"6.00";5;NA;NA;1,12;2,02;3,79;7,83;12,92;NA
"PW";"Power REIT";"Real Estate";"REITs";41,3;"USA";13748;1,4;"-0.02";"0.23";"0.29";"0.35";"0.96";NA;"8.00";"7.00";"7.00";"8.00";"8.00";8;NA;2,76;2,73;3,25;2,8;2,86;6,42;NA
"PWCDF";"Power Corporation of Canada";"Financial Services";"Insurance";35,18;"Canada";16526;3,14;"1.74";"2.16";"2.05";"1.92";"2.41";NA;"5.00";"6.00";"6.00";"5.00";"6.00";7;NA;9,5;8,53;10,5;7,84;7,84;12,63;NA
"PWR";"Quanta Services Inc";"Industrials";"Construction";103,02;"USA";944732;3,73;"1.26";"2.00";"1.90";"2.73";"3.07";NA;"8.00";"6.00";"5.00";"5.00";"6.00";7;NA;22,08;20,61;15,66;8,7;13,53;11,92;NA
"PXD";"Pioneer Natural Resources Co";"Energy";"Oil & Gas";148,81;"USA";1858158;1,35;"-3.34";"4.85";"5.70";"4.59";"-1.21";NA;"5.00";"7.00";"8.00";"5.00";"3.00";5;NA;NA;5,21;14,09;15,91;3,14;35,07;NA
"PXGYF";"Pax Global Technology Ltd";"Industrials";"Industrial Products";1,18;"Hong Kong";5801;0,12;"0.07";"0.05";"0.06";"0.07";"0.11";NA;"6.00";"5.00";"6.00";"7.00";"7.00";7;NA;62,45;153,74;NA;189,18;146,85;178,21;NA
"PYCFF";"Mount Logan Capital Inc";"Financial Services";"Asset Management";2,95;"USA";2312;-0,01;"0.48";"-0.06";"-0.04";"0.02";"-0.24";NA;"8.00";"3.00";"3.00";"7.00";"6.00";6;NA;48,5;NA;NA;1,86;0,71;0;NA
"PZRIF";"Pizza Pizza Royalty Corp";"Consumer Cyclical";"Restaurants";8,94;"Canada";1416;0,56;"0.65";"0.68";"0.63";"0.65";"0.59";NA;"6.00";"6.00";"4.00";"4.00";"5.00";6;NA;39,97;37,85;27,44;26,66;25,81;22,36;NA
"PZZA";"Papa John's International Inc";"Consumer Cyclical";"Restaurants";126,03;"USA";368944;-0,85;"2.74";"2.83";"0.08";"-0.24";"1.28";NA;"7.00";"6.00";"5.00";"6.00";"7.00";6;NA;20,86;13,53;1,24;1,63;5,65;13,14;NA
"QBCAF";"Quebecor Inc";"Communication Services";"Telecommunication Services";23,34;"Canada";152;1,7;"0.59";"1.26";"1.25";"1.94";"1.84";NA;"9.00";"9.00";"3.00";"8.00";"6.00";7;NA;2,64;2,97;3,12;3,5;3,58;3,49;NA
"QBEIF";"QBE Insurance Group Ltd";"Financial Services";"Insurance";8,44;"Australia";17241;-0,27;"0.61";"-0.92";"0.29";"0.42";"-1.09";NA;"5.00";"4.00";"7.00";"7.00";"3.00";3;NA;4,65;NA;3,06;3,61;NA;5,21;NA
"QCOM";"Qualcomm Inc";"Technology";"Semiconductors";146;"USA";6887257;8;"3.81";"1.64";"-3.39";"3.59";"4.52";NA;"6.00";"5.00";"4.00";"8.00";"6.00";7;NA;21,87;5,22;0,81;12,23;10,39;15,91;NA
"QDEL";"Quidel Corp";"Healthcare";"Medical Diagnostics & Research";129,27;"USA";666714;20,65;"-0.42";"-0.24";"1.86";"1.73";"18.60";NA;"4.00";"4.00";"6.00";"6.00";"7.00";9;NA;NA;1,48;4,54;7,06;110,57;14,99;NA
"QGEN";"Qiagen NV";"Healthcare";"Medical Diagnostics & Research";55,4;"Netherlands";783269;2,06;"0.34";"0.17";"0.82";"-0.18";"1.53";NA;"5.00";"7.00";"6.00";"4.00";"7.00";7;NA;2,53;5,06;4,51;4,23;7,54;12,25;NA
"QIPT";"Quipt Home Medical Corp";"Healthcare";"Medical Devices & Instruments";6,45;"USA";82788;-0,25;"-3.20";"-1.03";"0.71";"-0.27";"-0.21";NA;"4.00";"5.00";"5.00";"5.00";"7.00";3;NA;NA;2,12;NA;1,74;3,15;1,41;NA
"QIWI";"QIWI PLC";"Technology";"Software";9,51;"Cyprus";331161;2,11;"0.68";"0.89";"0.84";"1.25";"1.90";NA;"5.00";"7.00";"5.00";"5.00";"5.00";5;NA;78,36;NA;NA;676,56;207,29;237,53;NA
"QRTEA";"Qurate Retail Inc";"Consumer Cyclical";"Retail - Cyclical";11,06;"USA";3177310;3,39;"0.98";"2.70";"1.45";"-1.08";"2.86";NA;"7.00";"5.00";"4.00";"5.00";"7.00";6;NA;2,67;2,94;3,56;3,61;3,85;3,67;NA
"QSCGF";"Q.Beyond AG";"Technology";"Software";2,08;"Germany";1000;-0,17;"-0.21";"0.05";"0.03";"0.66";"-0.20";NA;"4.00";"7.00";"7.00";"5.00";"2.00";6;NA;0,14;1,77;1,87;NA;NA;0;NA
"QSR";"Restaurant Brands International Inc";"Consumer Cyclical";"Restaurants";64,5;"Canada";1446354;2,19;"1.45";"2.54";"2.42";"2.37";"1.60";NA;"9.00";"6.00";"7.00";"7.00";"6.00";6;NA;3,85;3,75;3,76;3,87;3,22;4,33;NA
"QTRHF";"Quarterhill Inc";"Technology";"Hardware";2,14;"Canada";31248;0,01;"0.09";"0.09";"-0.42";"0.08";"0.13";NA;"8.00";"6.00";"1.00";"7.00";"7.00";6;NA;NA;34,38;NA;28,93;19,4;0;NA
"QUAD";"Quad/Graphics Inc";"Industrials";"Business Services";4,23;"USA";296419;-0,97;"0.90";"2.07";"0.16";"-3.12";"-2.53";NA;"6.00";"8.00";"6.00";"4.00";"5.00";6;NA;2,47;3,28;2,6;1,38;1,14;1,34;NA
"QUILF";"Quilter PLC";"Financial Services";"Asset Management";2,05;"UK";1228;0,05;"0.02";"0.12";"0.34";"0.10";"0.07";NA;"N/A";"7.00";"6.00";"3.00";"6.00";6;NA;1,77;4,13;3,46;3,54;6,14;3,57;NA
"R";"Ryder System Inc";"Industrials";"Business Services";80,22;"USA";577402;4,88;"4.91";"13.53";"5.38";"-0.47";"-2.34";NA;"4.00";"8.00";"5.00";"3.00";"4.00";7;NA;3,95;3,21;3,41;1,41;0,88;3,08;NA
"RACE";"Ferrari NV";"Consumer Cyclical";"Vehicles & Parts";217,59;"Italy";235584;5,47;"2.23";"3.34";"4.71";"4.12";"3.99";NA;"8.00";"8.00";"8.00";"5.00";"5.00";8;NA;20,27;21,85;32,2;19,19;14,54;14,28;NA
"RADLY";"Raia Drogasil SA";"Healthcare";"Healthcare Providers & Services";5;"Brazil";20434;0,16;"0.08";"0.09";"0.08";"0.11";"0.06";NA;"6.00";"6.00";"4.00";"4.00";"5.00";6;NA;34,04;228,34;615,69;3,99;3,96;7,83;NA
"RAMPF";"Polaris Infrastructure Inc";"Utilities";"Utilities - Independent Power Producers";14,45;"Canada";1913;1,46;"-0.27";"0.11";"1.04";"0.89";"1.70";NA;"5.00";"7.00";"6.00";"7.00";"7.00";6;NA;1,2;1,63;2,13;2,06;2;0,83;NA
"RANJY";"Randstad NV";"Industrials";"Business Services";36,62;"Netherlands";4727;2,07;"1.65";"1.99";"2.16";"1.79";"0.98";NA;"4.00";"5.00";"6.00";"5.00";"4.00";7;NA;70,84;34,4;18,45;18,32;13,06;270;NA
"RATIY";"Rational AG";"Industrials";"Industrial Distribution";54,5;"Germany";177;0,67;"0.59";"0.74";"0.79";"0.84";"0.43";NA;"5.00";"7.00";"6.00";"7.00";"6.00";7;NA;161,98;220,72;618,74;264,28;157,19;336,97;NA
"RAVE";"Rave Restaurant Group Inc";"Consumer Cyclical";"Restaurants";1,26;"USA";305844;0,04;"-0.80";"-1.18";"0.13";"-0.05";"-0.28";NA;"4.00";"3.00";"5.00";"5.00";"2.00";6;NA;NA;NA;1,91;15,71;8,52;21,57;11,38
"RBA";"Ritchie Bros Auctioneers Inc";"Industrials";"Business Services";63,05;"Canada";470920;1,65;"0.85";"0.69";"1.11";"1.36";"1.54";NA;"5.00";"5.00";"7.00";"7.00";"6.00";6;NA;31,62;4,06;4,21;5,33;7,57;10,44;NA
"RBGLY";"Reckitt Benckiser Group PLC";"Consumer Defensive";"Consumer Packaged Goods";15,34;"UK";928218;-0,64;"0.64";"2.33";"0.77";"-1.36";"0.45";NA;"8.00";"6.00";"6.00";"5.00";"6.00";6;NA;49,74;14,39;9,35;9,55;11,39;10,97;NA
"RBLAY";"Robinsons Land Corp";"Real Estate";"Real Estate";7,75;"Philippines";100;0,54;"0.58";"0.58";"0.65";"0.67";"0.40";NA;"4.00";"5.00";"8.00";"5.00";"5.00";4;NA;14,79;11;14,22;11,67;5,39;8,88;NA
"RBTEF";"Robertet SA";"Basic Materials";"Chemicals";1239,35;"France";68;25,43;"19.09";"24.92";"25.50";"25.51";"26.61";NA;"5.00";"4.00";"6.00";"5.00";"6.00";6;NA;77,79;68,02;75,24;48,69;71,07;107,21;NA
"RCI";"Rogers Communications Inc";"Communication Services";"Telecommunication Services";51,32;"Canada";370129;2,51;"1.21";"2.80";"2.97";"3.02";"2.44";NA;"6.00";"8.00";"6.00";"6.00";"7.00";6;NA;3,68;4,58;5,37;4,66;3,84;4,77;NA
"RCII";"Rent-A-Center Inc";"Industrials";"Business Services";63,64;"USA";467207;3,69;"-1.98";"0.12";"0.16";"3.10";"3.73";NA;"6.00";"5.00";"8.00";"6.00";"7.00";5;NA;1,8;NA;1,31;8,18;15,49;5,21;NA
"RCL";"Royal Caribbean Group";"Consumer Cyclical";"Travel & Leisure";82,6;"USA";4398767;-22,33;"5.93";"7.53";"8.56";"8.95";"-27.05";NA;"7.00";"8.00";"7.00";"6.00";"2.00";2;NA;4,81;5,81;5,68;5,1;NA;0;NA
"RCMT";"RCM Technologies Inc";"Industrials";"Construction";5,15;"USA";188769;0,02;"0.14";"0.17";"0.22";"0.31";"-0.73";NA;"6.00";"7.00";"5.00";"4.00";"5.00";8;NA;10,01;10,15;4,75;3,74;NA;15,93;NA
"RCPUF";"Recipe Unlimited Corp";"Consumer Cyclical";"Restaurants";16,58;"Canada";4237;0,85;"0.92";"1.39";"0.86";"0.55";"-0.72";NA;"5.00";"5.00";"5.00";"5.00";"4.00";5;NA;20,19;11,17;6,86;2,72;1,03;1,49;NA
"RDEIF";"Red Electrica Corporacion SA";"Utilities";"Utilities - Regulated";20,01;"Spain";280;1,44;"1.25";"1.47";"1.49";"1.48";"1.40";NA;"7.00";"7.00";"6.00";"5.00";"6.00";5;NA;6,19;6,77;7,46;7,37;7,65;8,66;NA
"RDI";"Reading International Inc";"Communication Services";"Media - Diversified";5,04;"USA";37334;0,19;"0.41";"1.33";"0.60";"-1.17";"-3.00";NA;"7.00";"5.00";"5.00";"3.00";"2.00";3;NA;3,05;3,29;3,46;1,15;NA;0;NA
"RDN";"Radian Group Inc";"Financial Services";"Insurance";23,69;"USA";1082866;2,9;"1.37";"0.55";"2.77";"3.20";"2.00";NA;"9.00";"6.00";"8.00";"8.00";"4.00";7;NA;6,96;6,52;12,13;16,08;7,74;10,28;NA
"RDNT";"RadNet Inc";"Healthcare";"Medical Diagnostics & Research";31,25;"USA";293609;0,46;"0.15";NA;"0.66";"0.29";"-0.29";NA;"5.00";"6.00";"6.00";"4.00";"3.00";7;NA;0,97;1,3;0,8;1,54;0,99;2,17;NA
"RDS.A";"Royal Dutch Shell PLC";"Energy";"Oil & Gas";39,76;"Netherlands";4448370;1,4;"1.16";"3.12";"5.60";"3.90";"-5.56";NA;"5.00";"7.00";"9.00";"4.00";"4.00";7;NA;0,68;3,94;8,72;5,03;NA;0,63;NA
"RE";"Everest Re Group Ltd";"Financial Services";"Insurance";263,02;"Bermuda";253936;33,14;"23.68";"11.70";"2.17";"24.70";"12.78";NA;"7.00";"5.00";"5.00";"8.00";"5.00";6;NA;31,36;14,27;NA;35,68;17,12;49,71;NA
"REG";"Regency Centers Corp";"Real Estate";"REITs";68,93;"USA";773637;1,33;"1.42";"1.00";"1.46";"1.43";"0.26";NA;"7.00";"7.00";"6.00";"7.00";"5.00";5;NA;2,53;1,81;2,56;2,56;1,75;3,08;NA
"REGI";"Renewable Energy Group Inc";"Energy";"Oil & Gas";48,46;"USA";780265;3,48;"1.05";"-2.04";"6.14";"8.36";"2.76";NA;"9.00";"4.00";"7.00";"5.00";"6.00";3;NA;4,89;NA;16,43;29,9;18,84;20,72;NA
"REGN";"Regeneron Pharmaceuticals Inc";"Healthcare";"Biotechnology";672,24;"USA";740958;55,69;"7.70";"10.34";"21.29";"18.46";"30.52";NA;"5.00";"5.00";"6.00";"5.00";"5.00";6;NA;184,82;82,85;89,87;73,17;62,86;232,44;NA
"REI";"Ring Energy Inc";"Energy";"Oil & Gas";2,36;"USA";1570337;-2,21;"-0.97";"0.03";"0.15";"0.44";"-3.48";NA;"5.00";"7.00";"5.00";"7.00";"3.00";4;NA;NA;NA;79,75;4,34;0,5;6,36;NA
"RELX";"RELX PLC";"Communication Services";"Media - Diversified";30,15;"UK";571878;0,95;"0.70";"1.09";"0.90";"1.01";"0.85";NA;"6.00";"7.00";"7.00";"6.00";"6.00";6;NA;9,55;10,32;9,81;6,84;8,63;11,13;NA
"REPH";"Recro Pharma Inc";"Healthcare";"Drug Manufacturers";2,44;"USA";328762;-0,77;"-2.82";"-2.63";"-3.90";"-0.83";"-1.16";NA;"4.00";"2.00";"3.00";"4.00";"3.00";4;NA;NA;1,02;1,57;1,35;NA;0,47;NA
"REPYF";"Repsol SA";"Energy";"Oil & Gas";11,5;"Spain";2586;0,3;"1.17";"1.53";"1.57";"-2.59";"-2.59";NA;"7.00";"6.00";"7.00";"5.00";"4.00";8;NA;2,64;6,34;8,57;5,43;NA;8,38;NA
"REV";"Revlon Inc";"Consumer Defensive";"Consumer Packaged Goods";11,51;"USA";94046;-8,24;"-0.42";"-3.48";"-5.57";"-2.97";"-11.59";NA;"5.00";"2.00";"1.00";"4.00";"2.00";4;NA;2,43;0,49;NA;0,26;NA;0,35;NA
"REVG";"REV Group Inc";"Industrials";"Farm & Heavy Construction Machinery";16,3;"USA";320716;0,51;"0.47";"0.50";"0.20";"-0.20";"-0.48";NA;"N/A";"6.00";"3.00";"4.00";"3.00";7;NA;2,6;4,21;2,76;0,94;0,16;8,38;NA
"REXR";"Rexford Industrial Realty Inc";"Real Estate";"REITs";61,92;"USA";635000;0,65;"0.36";"0.48";"0.41";"0.47";"0.51";NA;"8.00";"5.00";"6.00";"6.00";"4.00";4;NA;1,57;1,6;2,13;2,69;3,18;3,59;NA
"REYN";"Reynolds Consumer Products Inc";"Consumer Cyclical";"Packaging & Containers";28,07;"USA";400152;1,8;"0.39";"1.49";"0.87";"1.11";"1.77";NA;"N/A";"N/A";"N/A";"N/A";"7.00";NA;NA;1,33;1,56;1,55;2,24;9,35;9,75;NA
"REZI";"Resideo Technologies Inc";"Industrials";"Business Services";32,26;"USA";604471;1,76;"1.43";"-3.19";"3.30";"0.29";"0.29";NA;"N/A";"N/A";"N/A";"3.00";"6.00";8;NA;NA;NA;8,5;3,74;4,94;10,08;NA
"RFP";"Resolute Forest Products Inc";"Basic Materials";"Forest Products";12,39;"Canada";528205;4,43;"-0.90";"-0.93";"2.52";"-0.51";"0.12";NA;"5.00";"4.00";"7.00";"4.00";"7.00";8;NA;1,11;2,22;7,55;1,06;4,15;81;NA
"RGA";"Reinsurance Group of America Inc";"Financial Services";"Insurance";116,4;"USA";501538;12,11;"10.79";"27.71";"11.00";"13.62";"6.31";NA;"7.00";"8.00";"5.00";"9.00";"5.00";6;NA;8,59;8,83;6,76;7,54;4,25;12,21;NA
"RGCO";"RGC Resources Inc";"Utilities";"Utilities - Regulated";23,85;"USA";8479;1,19;"0.81";"0.86";"0.95";"1.08";"1.30";NA;"5.00";"5.00";"4.00";"5.00";"6.00";5;NA;6,85;6,36;4,66;3,2;3,05;1,54;NA
"RGEN";"Repligen Corp";"Healthcare";"Medical Devices & Instruments";281,38;"USA";312995;1,79;"0.34";"0.72";"0.37";"0.44";"1.11";NA;"5.00";"5.00";"5.00";"7.00";"6.00";6;NA;5,1;2,17;3,87;3,88;5,75;15,34;NA
"RGLXY";"RTL Group SA";"Communication Services";"Media - Diversified";6,37;"Luxembourg";419;0,99;"0.50";"0.57";"0.50";"0.55";"0.39";NA;"7.00";"7.00";"7.00";"5.00";"5.00";5;NA;42,19;45,35;38,45;29,08;23,82;30,64;NA
"RGPCF";"Ratch Group PCL";"Utilities";"Utilities - Regulated";1,26;"Thailand";832;0,18;"0.12";"0.13";"0.12";"0.14";"0.14";NA;"7.00";"6.00";"3.00";"5.00";"4.00";4;NA;3,32;2,49;2,11;2,47;1,53;1,54;NA
"RGR";"Sturm Ruger & Co Inc";"Industrials";"Aerospace & Defense";78,46;"USA";133517;7,83;"4.59";"2.91";"2.88";"1.82";"5.09";NA;"8.00";"6.00";"8.00";"4.00";"8.00";7;NA;722,6;502,5;203,03;205,36;623,54;2386,76;NA
"RHE";"Regional Health Properties Inc";"Healthcare";"Healthcare Providers & Services";12,98;"USA";1512877;-6,25;"-8.88";"-5.20";"-11.86";"-2.07";"-5.74";NA;"5.00";"4.00";"3.00";"5.00";"4.00";4;NA;0,63;1,25;NA;1,04;0,83;0,82;NA
"RHHBF";"Roche Holding AG";"Healthcare";"Drug Manufacturers";432,02;"Switzerland";148;18,07;"10.92";"10.17";"12.31";"15.90";"18.60";NA;"9.00";"7.00";"7.00";"7.00";"7.00";7;NA;14,69;17;19,18;22,18;33,53;47,76;NA
"RHP";"Ryman Hospitality Properties Inc";"Real Estate";"REITs";81,51;"USA";464027;-6,54;"3.11";"3.43";"5.14";"2.81";"-7.59";NA;"7.00";"6.00";"6.00";"6.00";"1.00";1;NA;3,37;3,35;3,18;2,03;NA;0;NA
"RICK";"RCI Hospitality Holdings Inc";"Consumer Cyclical";"Restaurants";65,1;"USA";50895;2,81;"1.11";"0.85";"2.15";"2.10";"-0.66";NA;"6.00";"6.00";"8.00";"5.00";"3.00";9;NA;3,31;3,47;3,69;3,66;1,36;8,05;NA
"RIG";"Transocean Ltd";"Energy";"Oil & Gas";3,6;"Switzerland";16145413;0,12;"2.08";"-8.00";"-4.27";"-2.05";"-0.92";NA;"4.00";"4.00";"5.00";"4.00";"6.00";5;NA;2,92;1,21;0,34;NA;0,33;0;NA
"RILY";"B. Riley Financial Inc";"Financial Services";"Diversified Financial Services";65,7;"USA";240178;19,69;"1.17";"0.48";"0.58";"2.95";"7.56";NA;"5.00";"3.00";"4.00";"5.00";"7.00";5;NA;26,36;4,92;1,61;3,35;5,5;5,28;NA
"RIO";"Rio Tinto PLC";"Basic Materials";"Metals & Mining";75,03;"UK";2445396;11,55;"2.55";"4.87";"7.88";"4.88";"6.00";NA;"9.00";"8.00";"7.00";"6.00";"9.00";9;NA;5,76;12,88;14,4;16,29;27,9;58,51;NA
"RIOCF";"Riocan Real Estate Investment Trust";"Real Estate";"REITs";17,78;"Canada";10947;1,09;"1.88";"1.71";"1.25";"1.91";"-0.16";NA;"4.00";"7.00";"4.00";"4.00";"4.00";6;NA;3,55;3,93;3,88;3,78;3,48;3,67;NA
"RKAGY";"Rhoen Klinikum AG";"Healthcare";"Healthcare Providers & Services";9,5;"Germany";149;0,13;"0.44";"0.31";"0.42";"0.36";"0.01";NA;"8.00";"5.00";"7.00";"4.00";"7.00";5;NA;2,88;62,64;31,06;19,15;1,55;11,93;NA
"RKIGF";"Reko International Group Inc";"Industrials";"Industrial Products";3,5;"Canada";750;0,11;"0.86";"0.29";"0.24";"0.18";"0.09";NA;"8.00";"4.00";"5.00";"7.00";"5.00";8;NA;21,39;11,34;8,77;6,14;NA;13,66;NA
"RKLIF";"Rentokil Initial PLC";"Industrials";"Business Services";7,86;"UK";2624;0,19;"0.11";"0.50";"-0.07";"0.20";"0.13";NA;"7.00";"4.00";"3.00";"6.00";"5.00";5;NA;5,1;6,49;4,99;5,28;7,01;8,92;NA
"RKUNF";"Rakuten Group Inc";"Consumer Cyclical";"Retail - Cyclical";10,46;"Japan";6372;-1,01;"0.23";"0.70";"0.93";"-0.22";"-0.81";NA;"3.00";"7.00";"4.00";"4.00";"3.00";5;NA;29,67;44,94;41,25;8,06;NA;0;NA
"RKWBF";"Rockwool International A/S";"Industrials";"Construction";492;"Denmark";1;16,66;"8.06";"11.55";"13.75";"14.42";"14.00";NA;"9.00";"8.00";"7.00";"4.00";"6.00";7;NA;41,74;43,17;69,6;41,56;28,42;55,5;NA
"RLGY";"Realogy Holdings Corp";"Real Estate";"Real Estate";17,61;"USA";1371237;2,52;"1.46";"3.11";"1.09";"-1.65";"-3.13";NA;"7.00";"8.00";"7.00";"5.00";"4.00";6;NA;3,21;3,24;2,46;1,52;1,66;4,39;NA
"RLI";"RLI Corp";"Financial Services";"Insurance";109,71;"USA";120617;6,16;"2.59";"2.36";"1.43";"4.23";"3.46";NA;"5.00";"5.00";"4.00";"8.00";"5.00";7;NA;22,15;12,39;10,09;31,67;25,97;19,59;NA
"RLJ";"RLJ Lodging Trust";"Real Estate";"REITs";14,44;"USA";868829;-2,53;"1.61";"0.47";"0.93";"0.59";"-2.61";NA;"7.00";"4.00";"6.00";"7.00";"3.00";2;NA;4,02;3,01;2,63;2,68;NA;0;NA
"RMAX";"RE/MAX Holdings Inc";"Real Estate";"Real Estate";33,72;"USA";111107;0,59;"1.26";"0.57";"1.51";"1.40";"0.60";NA;"4.00";"4.00";"6.00";"4.00";"6.00";7;NA;8,32;6,63;5,95;5,6;4,98;6,31;NA
"RMNI";"Rimini Street Inc";"Technology";"Software";9,39;"USA";400921;-0,28;"-0.95";"-1.55";"-1.22";"-0.12";"-0.19";NA;"N/A";"4.00";"6.00";"7.00";"4.00";7;NA;NA;0,7;1,39;53,52;436,44;193,89;NA
"RNECF";"Renesas Electronics Corp";"Technology";"Semiconductors";10,75;"Japan";20449;0,31;"0.46";"0.54";"0.27";"-0.03";"0.25";NA;"6.00";"7.00";"5.00";"3.00";"7.00";8;NA;36,4;31,1;32;0,71;8,63;14,74;NA
"RNLSY";"Renault SA";"Consumer Cyclical";"Vehicles & Parts";7,34;"France";32746;-0,32;"2.63";"4.51";"2.76";"-0.12";"-7.18";NA;"7.00";"8.00";"5.00";"3.00";"4.00";4;NA;7,15;7,09;8,91;6,24;NA;3,41;NA
"RNMBF";"Rheinmetall AG";"Industrials";"Industrial Distribution";98,75;"Germany";596;6,06;"4.95";"6.20";"8.08";"8.63";"-0.75";NA;"5.00";"6.00";"5.00";"5.00";"4.00";8;NA;6,42;7,4;11,49;10,48;8,86;14,86;NA
"RNR";"RenaissanceRe Holdings Ltd";"Financial Services";"Insurance";158,13;"Bermuda";307234;8,16;"11.43";"-6.15";"4.91";"16.29";"15.31";NA;"5.00";"5.00";"6.00";"7.00";"5.00";4;NA;15,96;NA;6,58;17,58;20,74;0;NA
"RNRTY";"Reunert Ltd";"Industrials";"Industrial Products";6,96;"South africa";225;0,5;"0.82";"1.02";"0.96";"0.65";"0.04";NA;"6.00";"5.00";"4.00";"5.00";"5.00";5;NA;29,41;22,48;11,37;12,63;NA;35,17;NA
"RNSHF";"Renishaw PLC";"Technology";"Hardware";76,88;"UK";463;0,85;"0.94";"1.57";"2.43";"1.61";"0.01";NA;"5.00";"8.00";"8.00";"5.00";"4.00";4;NA;NA;53,35;93,48;109,44;25,18;177,97;87,43
"ROAD";"Construction Partners Inc";"Industrials";"Construction";33,56;"USA";182033;0,57;"0.43";"0.51";"1.11";"0.84";"0.78";NA;"N/A";"N/A";"7.00";"7.00";"5.00";4;NA;7,39;10,88;34,83;29,68;17,22;23,63;NA
"ROCK";"Gibraltar Industries Inc";"Industrials";"Construction";75,39;"USA";90359;1,94;"1.05";"1.94";"1.96";"1.99";"1.96";NA;"7.00";"6.00";"5.00";"5.00";"6.00";4;NA;5,74;6,63;7,72;34,79;152,48;77,35;NA
"ROG";"Rogers Corp";"Technology";"Hardware";212,74;"USA";60280;4,36;"2.65";"4.34";"4.70";"2.53";"2.67";NA;"4.00";"7.00";"5.00";"5.00";"6.00";7;NA;20,77;21,37;16,09;14,13;10,74;99,69;NA
"ROIC";"Retail Opportunity Investments Corp";"Real Estate";"REITs";18,15;"USA";801960;0,34;"0.31";"0.35";"0.38";"0.42";"0.27";NA;"6.00";"4.00";"4.00";"6.00";"5.00";4;NA;1,91;1,85;1,67;1,68;1,6;1,69;NA
"ROK";"Rockwell Automation Inc";"Industrials";"Industrial Products";326,1;"USA";543902;13,17;"5.56";"6.35";"4.21";"5.83";"8.77";NA;"5.00";"7.00";"6.00";"8.00";"5.00";6;NA;14,14;14,57;17,77;13,87;10,78;14,62;NA
"ROP";"Roper Technologies Inc";"Industrials";"Industrial Products";484,78;"USA";374468;10,04;"6.43";"9.39";"9.05";"16.82";"8.98";NA;"4.00";"6.00";"6.00";"5.00";"4.00";4;NA;9,45;6,7;7,67;8,03;6,54;6,93;NA
"ROSYY";"Rostelecom PJSC";"Communication Services";"Telecommunication Services";8,08;"Russia";3494;0,7;"0.52";"0.62";"0.53";"0.82";"0.59";NA;"5.00";"7.00";"5.00";"6.00";"5.00";6;NA;2,23;2,05;1,99;1,77;2,01;2,29;NA
"ROYUF";"Royal UNIBREW A/S";"Consumer Defensive";"Beverages - Alcoholic";124,5;"Denmark";190;4,23;"2.07";"2.54";"3.14";"3.41";"3.94";NA;"6.00";"7.00";"7.00";"5.00";"6.00";7;NA;36;41,39;44,24;40,81;40,95;57,89;NA
"RPAI";"Retail Properties of America Inc";"Real Estate";"REITs";13,16;"USA";1779040;0,09;"0.66";"1.03";"0.35";"0.15";"0.07";NA;"8.00";"5.00";"6.00";"7.00";"5.00";6;NA;1,34;0,86;1,57;1,37;1,13;1,81;NA
"RPKIF";"Richards Packaging Income Fund";"Consumer Cyclical";"Packaging & Containers";51,03;"Canada";100;2,91;"0.55";"1.20";"1.65";"1.50";"3.49";NA;"6.00";"7.00";"9.00";"5.00";"8.00";6;NA;33,76;44,31;47,66;19,71;41,84;12,56;NA
"RPT";"RPT Realty";"Real Estate";"REITs";13;"USA";274582;0,46;"0.66";"0.78";"0.13";"1.04";"-0.21";NA;"5.00";"7.00";"5.00";"4.00";"4.00";4;NA;1,62;1,62;1,52;1,35;0,63;1,22;NA
"RPYTF";"Reply SpA";"Technology";"Software";170,69;"Italy";435;3,82;"1.91";"2.46";"3.04";"3.38";"4.02";NA;"6.00";"7.00";"6.00";"6.00";"5.00";5;NA;74,47;135,9;95,93;41,63;37,87;31,26;NA
"RRC";"Range Resources Corp";"Energy";"Oil & Gas";14,7;"USA";4515640;-3,22;"-2.75";"1.34";"-7.10";"-6.92";"-2.95";NA;"5.00";"8.00";"6.00";"2.00";"5.00";5;NA;NA;1,67;3,12;0,52;NA;6,64;NA
"RRD";"R.R.Donnelley & Sons Co";"Industrials";"Business Services";4,93;"USA";650728;2,18;"-7.09";"-0.49";"-0.16";"-1.31";"1.36";NA;"4.00";"4.00";"5.00";"4.00";"6.00";5;NA;1,28;1,45;1,28;1,45;1,52;1,33;NA
