"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021";"FScore_2016";"FScore_2017";"FScore_2018";"FScore_2019";"FScore_2020";"FScore_TTM";"FScore_2021";"Interest_Coverage_2016";"Interest_Coverage_2017";"Interest_Coverage_2018";"Interest_Coverage_2019";"Interest_Coverage_2020";"Interest_Coverage_TTM";"Interest_Coverage_2021"
"CTT";"CatchMark Timber Trust Inc";"Real Estate";"REITs";11,54;"USA";169066;-0,12;"-0.29";"-0.34";"-2.55";"-1.90";"-0.36";NA;"4.00";"3.00";"4.00";"7.00";"6.00";6;NA;NA;NA;0,08;0,29;0,11;1,28;NA
"CTTAF";"Continental AG";"Consumer Cyclical";"Vehicles & Parts";132,3;"Germany";105;2,96;"14.78";"17.66";"16.49";"-6.81";"-5.85";NA;"6.00";"5.00";"4.00";"3.00";"4.00";8;NA;14,41;17,43;11,82;7,2;2,41;4,69;NA
"CTTMF";"Catena Media PLC";"Consumer Cyclical";"Travel & Leisure";5,27;"Malta";1200;0,39;"0.33";"0.47";"0.59";"-0.20";"0.15";NA;"3.00";"5.00";"5.00";"5.00";"8.00";8;NA;19,53;5,84;3,5;3,41;5,63;11,17;NA
"CTTOF";"CTT-Correios de Portugal SA";"Industrials";"Transportation";5,01;"Portugal";7841;0,29;"0.44";"0.21";"0.16";"0.21";"0.13";NA;"6.00";"3.00";"6.00";"6.00";"6.00";7;NA;11,82;6,02;4,01;5,75;5,36;3,66;NA
"CTVA";"Corteva Inc";"Basic Materials";"Agriculture";43,76;"USA";3159609;1,64;"0.67";"3.38";"-6.76";"-1.28";"0.91";NA;"N/A";"N/A";"N/A";"N/A";"8.00";8;NA;8,77;2,54;NA;4,29;18,73;163,71;NA
"CTXAF";"Ampol Ltd";"Energy";"Oil & Gas";20,65;"Australia";371;1,44;"1.70";"1.82";"1.54";"1.04";"-1.46";NA;"7.00";"6.00";"6.00";"4.00";"5.00";5;NA;5,2;5,88;7,27;NA;NA;18,85;NA
"CTXS";"Citrix Systems Inc";"Technology";"Software";102,66;"USA";1777187;2,89;"3.41";"-0.13";"3.94";"5.03";"4.00";NA;"7.00";"4.00";"8.00";"7.00";"7.00";3;NA;13,96;12,47;8,67;12,15;9,6;3,7;NA
"CUBE";"CubeSmart";"Real Estate";"REITs";53,37;"USA";987035;0,9;"0.45";"0.74";"0.88";"0.88";"0.85";NA;"6.00";"6.00";"6.00";"6.00";"3.00";7;NA;2,97;3,46;3,54;3,2;2,74;3,65;NA
"CUII";"China United Insurance Service Inc";"Financial Services";"Insurance";1,28;"Taiwan";456;0,15;"0.10";"0.24";"0.08";"0.10";"0.03";NA;"5.00";"6.00";"5.00";"6.00";"5.00";7;NA;334,2;364,09;60,59;36,8;31,64;67,04;NA
"CUK";"Carnival PLC";"Consumer Cyclical";"Travel & Leisure";21,56;"UK";1735616;-9,49;"3.72";"3.59";"4.44";"4.32";"-13.20";NA;"7.00";"5.00";"8.00";"5.00";"2.00";2;NA;13,77;14,64;17,21;16,03;NA;0;NA
