"Symbol";"Company";"Sector";"Subsector";"Price";"Country";"Volume";"EPS_TTM";"EPS_2016";"EPS_2017";"EPS_2018";"EPS_2019";"EPS_2020";"EPS_2021"
"PMMAF";"Puma SE";"Consumer Cyclical";"Manufacturing - Apparel & Accessories";"120,97";"Germany";140;"2,37";"0.44";"1.08";"1.42";"1.96";"0.65";NA
"PMMTF";"Precious Metals and Mining Trust";"Financial Services";"Asset Management";"1,78";"Canada";600;"0,16";"0.70";"-0.09";"-0.22";"0.24";"0.81";NA
"PMT";"PennyMac Mortgage Investment Trust";"Real Estate";"REITs";"19,51";"USA";791865;"2,71";"1.08";"1.48";"1.99";"2.42";"0.27";NA
"PMTS";"CPI Card Group Inc";"Financial Services";"Credit Services";"28";"USA";36720;"1,9";"0.48";"-1.98";"-3.36";"-0.46";"1.44";NA
"PNBK";"Patriot National Bancorp Inc";"Financial Services";"Banks";"9,3";"USA";4547;"0,11";"0.49";"1.06";"0.82";"-0.72";"-0.97";NA
"PNC";"PNC Financial Services Group Inc";"Financial Services";"Banks";"191,77";"USA";1498392;"13,18";"7.30";"10.36";"10.71";"11.39";"16.96";NA
"PNDDF";"Pender Growth Fund Inc";"Financial Services";"Asset Management";"6,45";"Canada";344;"2,17";"1.86";"0.11";"-0.26";"0.24";"1.44";NA
"PNEXF";"Pharnext SA";"Healthcare";"Biotechnology";"1,03";"France";993;"-1,91";"-2.22";"-2.37";"-2.28";"-2.22";"-1.22";NA
"PNFP";"Pinnacle Financial Partners Inc";"Financial Services";"Banks";"96,63";"USA";286609;"6,14";"2.91";"2.70";"4.64";"5.22";"4.03";NA
"PNINF";"Pininfarina Spa";"Consumer Cyclical";"Vehicles & Parts";"1,26";"Italy";250;"-0,37";"0.50";"0.02";"0.05";"-0.47";"-0.52";NA
"PNM";"PNM Resources Inc";"Utilities";"Utilities - Regulated";"49,58";"USA";620556;"2,44";"1.46";"1.00";"1.07";"0.97";"2.15";NA
"PNNT";"Pennant Park Investment Corp";"Financial Services";"Asset Management";"6,62";"USA";229927;"2,25";"0.26";"0.87";"0.68";"0.24";"-0.24";NA
"PNPFF";"Pinetree Capital Ltd";"Financial Services";"Capital Markets";"3,44";"Canada";1728;"0,92";"-5.52";"-0.36";"-0.36";"0.29";"0.19";NA
"PNR";"Pentair PLC";"Industrials";"Industrial Products";"77,09";"UK";1138464;"2,83";"2.85";"3.63";"1.96";"2.09";"2.14";NA
"PNRG";"PrimeEnergy Resources Corp";"Energy";"Oil & Gas";"50,98";"USA";3996;"-0,76";"1.13";"14.18";"5.11";"1.25";"-1.16";NA
"PNTG";"Pennant Group Inc";"Healthcare";"Healthcare Providers & Services";"29,64";"USA";79125;"0,4";"0.28";"0.35";"0.56";"0.11";"0.52";NA
"PNW";"Pinnacle West Capital Corp";"Utilities";"Utilities - Regulated";"77,17";"USA";776107;"5,13";"3.95";"4.35";"4.54";"4.77";"4.87";NA
"PNXGF";"Phoenix Group Holdings PLC";"Financial Services";"Insurance";"8,55";"UK";6126;"-0,72";"-0.39";"-0.08";"0.84";"0.11";"1.23";NA
"POAHF";"Porsche Automobil Holding SE";"Consumer Cyclical";"Vehicles & Parts";"102,36";"Germany";1168;"21,28";"4.73";"12.66";"12.96";"15.99";"10.41";NA
"POAI";"Predictive Oncology Inc";"Healthcare";"Medical Devices & Instruments";"1,06";"USA";1278336;"-1,2";"-23.10";"-9.40";"-7.87";"-6.86";"-2.21";NA
"PODD";"Insulet Corp";"Healthcare";"Medical Devices & Instruments";"296,15";"USA";368414;"-0,46";"-0.48";"-0.46";"0.05";"0.19";"0.10";NA
"POGHF";"Pilot Corp";"Industrials";"Industrial Products";"37,5";"Japan";2000;"2,82";"2.67";"3.20";"3.30";"3.09";"2.43";NA
"POLA";"Polar Power Inc";"Industrials";"Industrial Products";"6,68";"USA";270368;"-0,97";"0.58";"-0.07";"-0.08";"-0.40";"-1.01";NA
"POOL";"Pool Corp";"Consumer Cyclical";"Travel & Leisure";"491,71";"USA";218731;"13,16";"3.47";"4.51";"5.62";"6.40";"8.97";NA
"POST";"Post Holdings Inc";"Consumer Defensive";"Consumer Packaged Goods";"112,14";"USA";363927;"2,78";"-0.41";"0.50";"6.16";"1.66";"0.01";NA
"POTMF";"Portmeirion Group PLC";"Consumer Cyclical";"Furnishings, Fixtures & Appliances";"8,13";"UK";2100;"0,32";"0.74";"0.87";"0.91";"0.72";"-0.08";NA
"POWI";"Power Integrations Inc";"Technology";"Semiconductors";"107,64";"USA";320185;"2,02";"0.83";"0.45";"1.16";"3.24";"1.17";NA
"POWL";"Powell Industries Inc";"Industrials";"Industrial Products";"25,29";"USA";42394;"0,03";"1.36";"-0.83";"-0.62";"0.85";"1.42";NA
"POWW";"AMMO Inc";"Industrials";"Aerospace & Defense";"7,44";"USA";2209448;"0";"-0.58";"-0.30";NA;"-0.35";"-0.32";-0,14
"PPAAY";"PT Perusahaan Gas Negara Tbk";"Utilities";"Utilities - Regulated";"3,5";"Indonesia";243;"-0,52";"0.65";"0.40";"0.65";"0.15";"-0.55";NA
"PPBI";"Pacific Premier Bancorp Inc";"Financial Services";"Banks";"39,97";"USA";312251;"3,14";"1.46";"1.56";"2.26";"2.60";"0.75";NA
"PPBN";"Pinnacle Bankshares Corp";"Financial Services";"Banks";"23,1";"USA";2734;"2,2";"1.96";"1.78";"2.68";"2.82";"1.84";NA
